Company,Job Title,,Location,First Stage,Second Stage,Third Stage,Fourth Stage,References Handed,Date Applied,Notes,Updated At,Status
Evolve Vacation Rental,Business Intelligence Analyst,,Denver,,,,,,6/4/2020,,06/16/20,Rejected
Premium Retail,Samsung Junior Data Analyst,,Plano,,,,,,6/4/2020,,,Rejected
Digital Data Analyst,Cayuse Holdings,,Plano,,,,,,6/4/2020,,06/18/2020,Rejected
UNT System,Business Intelligence Analyst,,Denton,,,,,,6/3/2020,,08/04/2020,Rejected
Santander Consumer USA,"Associate, Risk Analytics",,Dallas,,,,,,6/3/2020,,06/16/2020,Rejected
Effective Spend,Digital Marketing Specialist,,Austin,,,,,,6/2/2020,,06/23/2020,Rejected
Cottonwood Financial,Data Scientst,,Irving,,,,,,6/2/2020,,,Rejected
Michaels,Data Science Analyst,,Irving,,,,,,6/1/2020,,,Rejected
SumUp,,,Remote,,,,,,5/29/2020,,06/09/2020,
Upstart,Data Scientist (Analytics),,Remote,,,,,,5/28/2020,,06/26/2020,Rejected
Pieces Technologies,Data Analyst,,Dallas,,,,,,5/27/2020,,,Rejected
Kapsch,"Database Developer, Java",,Austin,Recruiter Screen,,,,,5/27/2020,,05/29/2020,Rejected
Match,Data Analyst (Product Analytics),,Remote,,,,,,5/27/2020,,,Rejected
DealerSocket,HRIS Analyst,,Irving,,,,,,5/26/2020,,06/22/2020,Rejected
Q2E,Data Migration Analyst,,Austin,,,,,,5/26/2020,,,Rejected
Kasasa,"Data Analyst, Revenue Operations",,Austin,,,,,,5/26/2020,,,Rejected
Commscope,Sales Analyst,,Richardson,,,,,,5/26/2020,,06/11/2020,Rejected
Rocket.Chat,Data Analyst,,Remote,,,,,,5/25/2020,,,Rejected
